Year,Area,MPA_Status,meannpp,senpp,meanorbv,seorbv,meansst,sesst,meanmaxsst,semaxsst,meanwh,sewh
2010,Carrington Point,MPA,2136.781266,19.74073338,60.44047108,2.747478099,13.78290029,0.014521944,17.55027943,0.091795015,0.845990535,0.010874933
2010,Carrington Point,REF,2112.195802,36.02026322,56.02117648,3.103050843,13.72403659,0.030747027,17.35035182,0.078831149,0.810477474,0.013060341
2010,Piedras Blancas,MPA,1607.655185,14.46275809,411.2317488,21.31034185,12.55273895,0.025095284,15.11401513,0.073418388,1.811958292,0.027331158
2010,Piedras Blancas,REF,1664.964957,22.25287168,153.1479941,7.401810957,12.42617816,0.023742273,14.8055972,0.117728471,1.300017743,0.017921863
2010,Point Buchon,MPA,1729.293414,32.06695856,333.3213391,29.65752882,12.97784438,0.031854122,16.77259563,0.069366175,1.757464518,0.046793906
2010,Point Buchon,REF,2091.099581,44.24364215,342.6530174,23.2662659,12.78612773,0.019890964,16.49497718,0.263243988,1.7970951,0.039713292
2010,Point Lobos,MPA,1151.173779,84.32704873,326.1686836,30.78631732,12.38290443,0.023706865,14.25070929,0.116181902,1.680218317,0.055614437
2010,Point Lobos,REF,1361.018387,115.1468157,359.718577,28.84964698,12.57138293,0.054616768,15.04415786,0.168406624,1.744312725,0.050502918
2010,Cape Mendocino,MPA,1061.950215,16.54058811,762.8980981,29.90582358,10.68468367,0.016401932,14.11467338,0.11349958,2.271288745,0.045692708
2010,Cape Mendocino,REF,1218.43553,11.42573223,783.9280328,23.50379974,11.0048304,0.018923127,14.91593026,0.032408904,2.298640708,0.031436945
2010,South La Jolla,MPA,1689.587298,60.85858335,152.8986652,10.13781522,16.27851809,0.046993968,21.36795191,0.109281242,1.163803219,0.024978018
2010,South La Jolla,REF,1485.988432,30.70800984,166.0537976,12.74631092,16.62337144,0.054166015,21.77681289,0.08709596,1.17015802,0.028839433
2010,Stewarts Point,MPA,1151.080938,73.32762729,326.2478299,21.05326784,11.21388306,0.053402332,13.67368688,0.092423096,1.813979583,0.048172133
2010,Stewarts Point,REF,1379.799511,74.48871977,288.8604552,19.15863634,10.90478755,0.053490007,13.0668457,0.09747923,1.676432789,0.043604428
2010,Swamis,MPA,2202.971575,101.2540047,105.5659363,7.641120022,16.67266663,0.063560896,22.08309375,0.286611436,0.936189886,0.022793639
2010,Swamis,REF,2497.979983,158.6260507,106.5751136,6.406244016,16.67488373,0.060587665,22.06866136,0.155011201,0.930677495,0.017650675
2010,Ten Mile,MPA,1808.208648,80.24393388,399.6343649,22.445382,11.3572219,0.051838696,15.2310502,0.11616896,1.807853524,0.058225861
2010,Ten Mile,REF,2246.005483,75.48704899,469.1901386,21.38767204,11.51544783,0.041558417,15.57504229,0.135220915,1.819601858,0.041674434
2011,Anacapa Island,MPA,1217.162549,28.93038715,36.05366678,1.781648338,14.886695,0.025284079,21.47542583,0.532129682,0.716170733,0.013429825
2011,Anacapa Island,REF,1068.061461,65.47735598,32.0436927,1.569809882,14.84805086,0.022554968,21.91713686,0.242612968,0.701661621,0.013742341
2011,Ano Nuevo,MPA,1704.346766,25.1790872,199.8627571,10.896019,12.04414364,0.035077621,18.09950282,0.501357667,1.439642193,0.029499832
2011,Ano Nuevo,REF,2058.220863,110.0215128,199.7271713,11.41849856,12.01994436,0.025388329,16.05323064,0.064825458,1.475337936,0.027227341
2011,Bodega Head,MPA,2627.573952,48.64889688,266.3317873,13.12814982,11.42703577,0.016186552,16.09557038,0.009476921,1.711220326,0.02870656
2011,Bodega Head,REF,2704.690271,69.87531984,267.3584924,18.1822367,11.32959471,0.059197593,15.998322,0.075788514,1.620699811,0.033907676
2011,Carrington Point,MPA,1930.869438,31.41978617,44.3737525,0.67841704,13.68600324,0.010581386,19.51506343,0.404975717,0.791178517,0.006924922
2011,Carrington Point,REF,1942.716891,17.01890842,41.84506631,1.137743183,13.64761926,0.040318926,18.55610259,0.087907469,0.759323551,0.009001342
2011,Piedras Blancas,MPA,1669.449452,25.16378297,259.7740616,8.864851232,12.47584265,0.025029482,16.66312248,0.027949814,1.679603683,0.018429564
2011,Piedras Blancas,REF,1911.986494,38.35741216,114.4959449,3.607145897,12.25855586,0.034453403,16.78116852,0.007534737,1.206445652,0.01108376
